skill_number,version,name,school,type,cost,str_def,use,distance,rarity,skill_text,air,velocity,homing,recovery,notes
0,1,Aura Particle,,Aura,0,,1,self,,Increases Level by 1.,,,,,
1,1,Psycho Wave,Psycho,Attack,4,X,1,short,4,STR = target's Level,No,,,,
2,1,Psycho Burst,Psycho,Attack,7,X,0,short,5,STR = target's Level,No,,,,
3,1,Psycho Knife,Psycho,Attack,2,2,0,short,1,,No,,,,Two consecutive hits before knockdown
4,1,Psycho Blade,Psycho,Attack,5,5,0,short,3,,No,,,,
5,1,Excalibur,Psycho,Attack,5,7,0,short,5,Requires: 7 or fewer skills left in arsenal,No,,,,
6,1,Debris Bullet,Psycho,Attack,2,X,0,medium,5,"[Parabola] STR randomly 0,2,or 4.",Yes,4,<Note>,3,"NOTE: 1: Target Running Sideways , 4: Towards or Away"
7,1,Stone Shot,Psycho,Attack,2,2,0,medium,2,[Parabola],Yes,4,<Note>,3,"NOTE: 1: Target Running Sideways , 4: Towards or Away"
8,1,Rock Shot,Psycho,Attack,3,4,0,medium,1,[Parabola],Yes,4,<Note>,3,"NOTE: 1: Target Running Sideways , 4: Towards or Away"
9,1,Psycho Spear,Psycho,Attack,3,8,1,medium,3,[Parabola] Add: Pierce effect.,No,4,4,3,
10,1,Bomb,Psycho,Attack,3,3,0,medium,3,[Parabola] Explodes on impact.,Yes,,,,
11,1,Cluster Bomb,Psycho,Attack,4,6,0,medium,2,[Parabola] Explodes on impact. Requires: 7 or fewer skills left in arsenal.,,,,,
12,1,Big Bomb,Psycho,Attack,5,5,0,medium,5,[Parabola] Explodes on impact.,Yes,,,,
13,1,Throwing Stone,Psycho,Attack,0,0,0,long,1,[Parabola],Yes,4,4,3,
14,1,Rail Gun,Psycho,Attack,3,6,0,medium,1,Requires: 7 or fewer skills left in arsenal.,No,5,2,3,
15,1,Psycho Sniper,Psycho,Attack,5,4,0,long,3,,,,,,
16,1,Bomb Shot,Psycho,Attack,6,4,0,long,5,Explodes on impact.,,,0,,
17,1,Power,Psycho,Attack,0,X,3,medium,1,[Object] Throws nearby object; STR depends on object. Requires: Available object.,,,4,,
18,1,Psycho Kinesis,Psycho,Attack,2,X,0,medium,2,[Object] Throws nearby object; STR depends on object. Requires: Available object.,,,4,,
19,1,Meteor,Psycho,Attack,3,6,1,medium,4,[Fall] Add: Pierce effect.,,,,,
20,1,Rain of Stones,Psycho,Attack,3,3,0,medium,5,[Rain],No,,,,
21,1,Rain of Rocks,Psycho,Attack,5,5,0,medium,1,[Rain],No,,,,
22,1,Gravity Press,Psycho,Attack,4,8,1,medium,4,[Hole] Effective against downed opponents.,No,,,,
23,1,Timer Mine,Psycho,Attack,1,3,0,mine,1,Press once to set. Explodes automatically 5 sec later.,No,,,,
24,1,Sensor Mine,Psycho,Attack,2,3,0,mine,1,Detonates when anyone enters blast area.,No,,,,
25,1,Remote Mine,Psycho,Attack,1,3,0,mine,2,Press once to set and again to detonate.,No,,,,
26,1,Crystal Wall,Psycho,Defense,1,3,0,self,1,[Barrier] Add: Anti-Pierce; protects from damage regardless of STR.,No,N/A,N/A,3,
27,1,Wall,Psycho,Defense,2,5,0,self,2,[Barrier] Add: Anti-Pierce; protects from damage regardless of STR.,No,N/A,N/A,3,
28,1,Psychic Wall,Psycho,Defense,3,8,0,self,1,[Barrier] Add: Anti-Pierce; protects from damage regardless of STR.,No,N/A,N/A,3,
29,1,Power Shell,Psycho,Defense,2,4,0,self,1,[Shelter] Add: Anti-Pierce; protects from damage regardless of STR.,No,N/A,N/A,3,
30,1,Psycho Shell,Psycho,Defense,3,6,0,self,2,[Shelter] Add: Anti-Pierce; protects from damage regardless of STR.,No,N/A,N/A,3,
31,1,Bend,Psycho,Defense,0,-,1,self,1,[Course],No,N/A,N/A,3,
32,1,Change Course,Psycho,Defense,3,-,0,self,2,[Course],No,N/A,N/A,3,
33,1,About Face,Psycho,Defense,2,-,1,self,4,[Course],No,N/A,N/A,3,Sends projectile back at caster (Fall attacks do not go back at caster)
34,1,Reverse,Psycho,Defense,5,-,0,self,5,[Course],No,N/A,N/A,3,Sends projectile back at caster (Fall attacks do not go back at caster)
35,1,Confusion Gas,Psycho,Erase,2,-,1,mine,3,Detonates when target enters blast area; erases 1 equipped skill.,No,,,,
36,1,Shatter,Psycho,Erase,2,-,0,capsule,1,Erases capsule you are touching (not Aura).,No,,,,
37,1,Crush,Psycho,Erase,3,-,0,all,4,Erases Environmental crystals from battlefield.,No,,,,
38,1,Reduce Gravity,Psycho,Environment,3,-,1,env,1,Increases everyone's movement speed by 20%.,No,N/A,N/A,4,
39,1,Abnormal Gravity,Psycho,Environment,3,-,1,env,2,Reduces everyone's movement speed by 20%.,No,N/A,N/A,4,
40,1,Confused Gravity,Psycho,Environment,4,-,1,env,5,Inverts everyone's directional controls.,No,N/A,N/A,4,
41,1,Vanishing Light,Psycho,Environment,5,-,1,env,4,Prevents everyone from using Optical skills for 1 min.,No,N/A,N/A,4,
42,1,Pressure,Psycho,Status,1,-,1,medium,3,Prevents target from moving or using skills for 3 sec.,No,,,,
43,1,Lift Up,Psycho,Status,2,-,1,medium,4,Levitates target 10 ft in air for 3 sec. Prevents target from moving or using skills., ,,,,
44,1,Alleviate,Psycho,Status,2,-,1,medium,2,Increases target's movement speed by 30%.,,,,,
45,1,Brain Concussion,Psycho,Status,3,-,1,medium,3,Inverts target's directional controls for 15 sec.,,,,,
46,1,Magnetic Field,Psycho,Status,3,-,1,medium,1,Reduces target's homing accuracy by 30%.,,,,,
47,1,Burden,Psycho,Status,4,-,1,medium,4,Reduces target's movement speed by 20%.,,,,,
48,1,Freeze Gas,Psycho,Status,4,-,0,mine,2,Detonates when target enters blast area; freezes target's skill button for 10 sec.,No,,,,
49,1,Speed Up,Psycho,Status,2,-,1,self,4,Increases your movement speed by 20%.,No,,,,
50,1,Acquisition,Psycho,Status,3,-,1,self,1,Increases your homing accuracy by 20%.,No,N/A,N/A,3,Works on all types of attacks
51,1,Skywalk,Psycho,Status,2,-,0,self,4,Levitate 15 ft in air for 15 sec.,No,,,,
52,1,Frighten,Psycho,Special,4,-,0,auto,1,Briefly stops target's movement.,No,N/A,N/A,3,Works at any range and is instantaneous
53,1,Teleportation,Psycho,Special,3,-,1,medium,1,Teleports target to your start point.,,,,,
54,1,Dazzle,Psycho,Special,4,-,0,medium,4,Scrambles target's skill buttons for 10 sec.,,,,,
55,1,Bravery Decision,Psycho,Special,0,-,1,self,4,Erases all Aura Particles from your arsenal.,No,N/A,N/A,4,
56,1,Levitate,Psycho,Special,2,-,0,self,2,Levitate 30 ft in air for 15 sec.,No,N/A,N/A,3,for 15 sec. is an error in the game's description (English)
57,1,Return,Psycho,Special,2,-,1,self,4,Teleports you to your start point.,No,N/A,N/A,4,
58,1,Surprise Attack,Psycho,Special,3,-,1,self,3,Teleports you to target's start point.,No,N/A,N/A,4,
59,1,Call,Psycho,Special,3,-,0,self,2,Sets capsule spawn point to current location for duration of battle.,No,N/A,N/A,4,
60,1,Retreat,Psycho,Special,5,-,0,self,5,Teleports you to one of your capsule spawn points.,No,N/A,N/A,4,
61,1,Mist Blade,Optical,Attack,2,3,0,short,4,Penalty: 1 Level,No,,,,
